age_min,age_max,age_dist
0,0,0.0297659685298395
1,1,0.029000129755896647
2,2,0.027944546463286396
3,3,0.029114797757585808
4,4,0.02949694851594611
5,5,0.030125174300771437
6,6,0.03112706746150836
7,7,0.02996780470957539
8,8,0.030337828216515733
9,9,0.028346226081914516
10,10,0.030703239951789335
11,11,0.027891938105013912
12,12,0.02948299933004053
13,13,0.028019188841744435
14,14,0.0281373868414995
15,15,0.02573579251217949
16,16,0.01931523844937661
17,17,0.02190204380625116
18,18,0.028344233341070862
19,19,0.020620142089254407
20,20,0.020363932552213086
21,21,0.018419245230616766
22,22,0.01733792711339703
23,23,0.018801339053524393
24,24,0.019110783238817635
25,25,0.01657948994830204
26,26,0.01564238933271023
27,27,0.012146438667507716
28,28,0.013586507072037981
29,29,0.012042246789110913
30,30,0.01389048545387434
31,31,0.011908334604417314
32,32,0.012887909067705306
33,33,0.01244722866399423
34,34,0.011906455734479012
35,35,0.01258717600667147
36,36,0.011814049494786108
37,37,0.009426461286824356
38,38,0.011970792796002721
39,39,0.009371860187708216
40,40,0.009601423932897242
41,41,0.007855213599328935
42,42,0.008394449271621907
43,43,0.008617920923374617
44,44,0.007071098545077136
45,45,0.007354466293044839
46,46,0.0069458974846429425
47,47,0.0051000501088919
48,48,0.006383375212205549
49,49,0.00472609805571692
50,50,0.005672593021000243
51,51,0.0032629138574002624
52,52,0.0036262189809248583
53,53,0.004137556281406663
54,54,0.0053809696323945415
55,55,0.003944146548666802
56,56,0.003638972522324249
57,57,0.0028771761655213817
58,58,0.004275340076882219
59,59,0.0027390507573297703
60,60,0.003928887847349675
61,61,0.0022064195975471977
62,62,0.002520190877243805
63,63,0.0022841934259024083
64,64,0.0024354709236621406
65,65,0.0027249877005188355
66,66,0.002851213599101194
67,67,0.002018703410074922
68,68,0.0033967121711885088
69,69,0.0027042631957448263
70,70,0.0022421181263749556
71,71,0.001572443332001613
72,72,0.001515735621136467
73,73,0.0018023486899066937
74,74,0.0011109245526111765
75,75,0.0014595403293454034
76,76,0.0016222049176403057
77,77,0.001087239404298023
78,78,0.0020026476124203325
79,79,0.0009292435231225407
80,80,0.0009591346357773617
81,81,0.0005686143658737095
82,82,0.0007349228231398661
83,83,0.0008089389116184705
84,84,0.0005537542127253128
85,85,0.0006862999465546906
86,86,0.0008328518017423274
87,87,0.00047432925624250264
88,88,0.0008726496831627462
89,89,0.00025131308811119995
90,90,0.0002870116169389576
91,91,0.00014040282629864501
92,92,0.0001563447530478829
93,93,0.00016494200640193617
94,94,0.00011273219629818213
95,100,0.0007555903924611995
